CITY,METRO ID,DAY,ON,OFF,TOTAL,POPULATION (2020),BOARDINGS PER CAPITA,EXITS PER CAPITA,TOTAL PER CAPITA
North Richmond,1,Weekday,73.2091225232041,71.8071256966955,145.0162482199,4175,0.017535119167234516,0.017199311544118683,0.03473443071135329
North Richmond,1,Saturday,41.1488677988666,40.404575979576,81.5534437784426,4175,0.009856016239249484,0.009677742749599042,0.019533758988848526
North Richmond,1,Sunday,37.4144827394827,33.5928765678766,71.0073593073593,4175,0.008961552751971904,0.008046197980329725,0.017007750732301628
Rollingwood,1,Weekday,89.7116500615808,96.4051255146708,186.116775576252,3015,0.029755107814786335,0.03197516600818269,0.06173027382296915
Rollingwood,1,Saturday,39.3031662781663,34.2499694749695,73.5531357531358,3015,0.013035876045826303,0.011359857205628357,0.024395733251454662
Rollingwood,1,Sunday,31.7128593628593,32.1320429570429,63.8449023199023,3015,0.010518361314381195,0.010657394015602952,0.02117575532998418
San Pablo,1,Weekday,2127.53572746208,2268.3501705574,4395.88589801948,32127,0.06622267026059328,0.07060572635345348,0.13682839661404675
San Pablo,1,Saturday,1339.88256465756,1379.56745476744,2719.450019425,32127,0.04170581021127276,0.042941060627118624,0.08464687083839138
San Pablo,1,Sunday,1126.80694613003,1172.97299089799,2299.77993702802,32127,0.03507351903788184,0.03651050489924332,0.07158402393712515
Cherryland,3,Weekday,155.169551778303,156.16338720539,311.332938983693,15808,0.009815887637797508,0.009878756781717485,0.019694644419514993
Cherryland,3,Saturday,116.296353646365,114.068040293051,230.364393939416,15808,0.00735680374787228,0.007215842629874177,0.014572646377746457
Cherryland,3,Sunday,89.9790903540904,90.1605477855507,180.139638139641,15808,0.0056919971124804155,0.00570347594797259,0.011395473060452998
El Cerrito,1,Weekday,2611.06559886874,2393.12410283817,5004.18970170692,5058,0.5162249108083709,0.4731364378881317,0.9893613486965045
El Cerrito,1,Saturday,1549.0483072483,1502.86656399154,3051.91487123984,5058,0.3062570793294385,0.2971266437310281,0.6033837230604666
El Cerrito,1,Sunday,1317.11516563502,1294.41852991779,2611.53369555281,5058,0.26040236568505737,0.2559150909287841,0.5163174566138414
Richmond,1,Weekday,4285.7317752133,4493.64217086367,8779.37394607696,116448,0.03680382467035329,0.0385892601922203,0.0753930848625735
Richmond,1,Saturday,2427.02804600367,2352.64162803564,4779.66967403931,116448,0.020842161703109287,0.0202033665501824,0.041045528253291684
