LINE NAME,LINE CODE,DIRECTION,DAY,BOARDINGS,DEBOARDINGS
1,1,Northbound,Weekday,7783.158592710136,7811.2884851619
1,1,Southbound,Weekday,7833.746610613154,7920.65860571407
6,6,Northbound,Weekday,2928.2385046769864,2921.8283955701145
6,6,Southbound,Weekday,2982.78162585114,2979.042966439509
7,7,Northbound,Weekday,1418.3352218315144,1416.256972254549
7,7,Southbound,Weekday,1403.2175720343055,1407.6577411891915
10,10,Northbound,Weekday,1090.735318063482,1095.8890316854122
10,10,Southbound,Weekday,1119.4650294601113,1119.5720091516139
12,12,Northbound,Weekday,1189.9471895659913,1194.899924981753
12,12,Southbound,Weekday,1204.3429215926526,1204.3831001297115
14,14,Eastbound,Weekday,1567.791469301555,1567.565370292078
14,14,Westbound,Weekday,1584.754432247619,1588.550599130235
18,18,Northbound,Weekday,1936.694815865315,1932.4320276001722
18,18,Southbound,Weekday,1898.3932273778744,1936.0783304947054
19,19,Eastbound,Weekday,109.18092241363237,109.28562300420981
19,19,Westbound,Weekday,110.09862319272156,110.59840008900866
20,20,Eastbound,Weekday,962.6793807711572,966.3334499834559
20,20,Westbound,Weekday,999.219627200084,996.9271193317401
21,21,Eastbound,Weekday,608.54054515522,607.7714207320091
21,21,Westbound,Weekday,671.8046654267146,673.9766811481102
28,28,Northbound,Weekday,307.55050840694867,308.38824283419063
28,28,Southbound,Weekday,344.7007305296348,343.8814960382095
29,29,Eastbound,Weekday,558.8997872419782,553.1724653312366
29,29,Westbound,Weekday,615.8746384338347,628.3284000502834
33,33,Eastbound,Weekday,1152.1847875244664,1158.3573470890253
33,33,Westbound,Weekday,1174.7481170359574,1277.9635164088854
34,34,Northbound,Weekday,289.4011895241657,321.8949660194099
34,34,Southbound,Weekday,321.4985311665512,321.3207784028981
35,35,Northbound,Weekday,306.4849068280349,307.6207396608235
35,35,Southbound,Weekday,314.2867609502687,330.613272483672
36,36,Northbound,Weekday,1202.0294840157753,1149.0815690590548
36,36,Southbound,Weekday,1090.2111987213293,1138.480737909511
39,39,Eastbound,Weekday,295.3003766746894,267.1340556058378
39,39,Westbound,Weekday,194.8603325523726,229.00883436681852
41,41,Northbound,Weekday,274.4394709273803,273.4702285042217
41,41,Southbound,Weekday,299.1816949629921,302.0038734093579
45,45,Eastbound,Weekday,610.6927833339525,611.8694103940758
45,45,Westbound,Weekday,645.0788883744976,644.9914575403059
54,54,Eastbound,Weekday,740.9762836389818,745.8567750342451
54,54,Westbound,Weekday,658.9624466022984,657.0290986044292
56,56,Northbound,Weekday,217.15061281567384,216.81339933444082
56,56,Southbound,Weekday,166.17664669513468,214.28676451184782
57,57,Eastbound,Weekday,2545.18317783061,2572.483306452032
57,57,Westbound,Weekday,2619.217597420547,2626.436762214162
60,60,Eastbound,Weekday,615.9110336035534,608.6717772987372
60,60,Westbound,Weekday,550.0260251448915,556.801970650542
62,62,Eastbound,Weekday,1006.3699558589543,1009.8150909877522
62,62,Westbound,Weekday,1039.0950002334512,1040.7624320934528
65,65,Eastbound,Weekday,239.53928571428563,242.49047619047624
65,65,Westbound,Weekday,158.30158681897814,160.32284334023456
67,67,Northbound,Weekday,361.74047619047604,358.0833333333333
70,70,Northbound,Weekday,218.86586261040242,222.7786039586858
70,70,Southbound,Weekday,188.621207733799,188.5609602632135
71,71,Northbound,Weekday,456.5453676400067,476.3148315046068
71,71,Southbound,Weekday,468.2479012286219,464.82278777752487
72,72,Northbound,Weekday,1487.0497221187295,1489.8165231285047
72,72,Southbound,Weekday,1458.3237371705154,1457.6432141367843
73,73,Eastbound,Weekday,944.4531230719925,944.4020002200289
73,73,Westbound,Weekday,1017.3780408474357,1016.6054565552788
74,74,Northbound,Weekday,613.8702605208189,562.8378857275031
74,74,Southbound,Weekday,456.5417421772392,511.5344984035726
76,76,Eastbound,Weekday,1010.4818882524145,974.238071991893
76,76,Westbound,Weekday,1032.4735924135584,1030.945988890847
79,79,Northbound,Weekday,1266.4152810977914,1264.85548270753
79,79,Southbound,Weekday,1445.4320366607883,1447.6839160723823
86,86,Northbound,Weekday,561.0446107353222,561.2721649898954
86,86,Southbound,Weekday,592.1482171484041,599.3155892530383
88,88,Northbound,Weekday,1062.7103126336829,1071.7608520448478
88,88,Southbound,Weekday,979.7422124502813,974.0948258545857
90,90,Eastbound,Weekday,346.3558119275662,354.04831532266644
90,90,Westbound,Weekday,341.0890250744437,337.9331890929655
93,93,Northbound,Weekday,337.500430469455,357.06908693118737
93,93,Southbound,Weekday,412.7610639118609,413.5600075842691
95,95,Northbound,Weekday,142.86173316348948,124.94694101416788
95,95,Southbound,Weekday,109.05647157504258,110.22031320220393
96,96,Eastbound,Weekday,680.390517042949,676.1375349624839
96,96,Westbound,Weekday,717.553734724516,727.937165101907
97,97,Northbound,Weekday,1549.9418094497296,1552.0478645555868
97,97,Southbound,Weekday,1437.8200994031085,1438.7151075823908
98,98,Eastbound,Weekday,612.5749512927746,618.3646153738658
98,98,Westbound,Weekday,623.9472207675936,625.9890912174166
99,99,Northbound,Weekday,1082.9345244529547,1086.510507673429
99,99,Southbound,Weekday,1075.5279755738397,1078.9886019534943
200,200,Northbound,Weekday,706.1337998259054,706.4184106172146
200,200,Southbound,Weekday,685.0217536906878,685.9674225289696
210,210,Northbound,Weekday,579.6958800389816,599.1587555813754
210,210,Southbound,Weekday,581.4455672635283,572.1395542509345
212,212,Northbound,Weekday,187.8354723543648,241.7159217146127
212,212,Southbound,Weekday,304.5676875309687,315.77054988914836
215,215,Northbound,Weekday,94.87679637162479,94.95434141803669
215,215,Southbound,Weekday,91.39339666008206,91.27550182018635
216,216,Northbound,Weekday,150.13655472096573,148.32818531066775
216,216,Southbound,Weekday,151.44904313285798,152.51523247756535
217,217,Northbound,Weekday,366.954655226569,367.2501400045276
217,217,Southbound,Weekday,392.33665846370525,393.0647632997419
232,232,Northbound,Weekday,156.3807080180565,155.78371750221817
232,232,Southbound,Weekday,137.38808053210226,137.25462609529652
239,239,Northbound,Weekday,250.62295180406812,280.6617533474894
239,239,Southbound,Weekday,314.37277425860816,309.94799230813567
251,251,Northbound,Weekday,96.4638578770197,97.03458646616542
251,251,Southbound,Weekday,87.04573553082506,84.85257584685209
346,346,Eastbound,Weekday,78.7477820212555,87.81760985796295
346,346,Westbound,Weekday,84.93094984937093,83.00467772967782
376,376,Northbound,Weekday,78.36671374743763,78.97567359922999
376,376,Southbound,Weekday,32.92653749966978,40.38046916574627
604,604,Eastbound,Weekday,31.10344772186878,32.07003727266887
604,604,Westbound,Weekday,52.44812252964429,55.37664690382085
605,605,Eastbound,Weekday,23.529411764705888,18.294117647058815
605,605,Westbound,Weekday,34.79679144385029,35.06230234029094
606,606,Eastbound,Weekday,23.77796234772979,24.3119007103692
606,606,Westbound,Weekday,30.04983404457086,37.935135135135134
607,607,Northbound,Weekday,10.38628690467936,10.762917256910391
617,617,Eastbound,Weekday,91.47509574618533,90.44369825002747
617,617,Westbound,Weekday,29.04355730476418,29.337487512487492
620,620,Northbound,Weekday,34.81691919191917,36.21969696969697
620,620,Southbound,Weekday,6.818181818181825,6.818181818181821
621,621,Northbound,Weekday,100.67094920281788,158.67296202128196
621,621,Southbound,Weekday,86.04761904761905,82.97619047619047
623,623,Northbound,Weekday,142.44818192294392,147.50115560379862
623,623,Southbound,Weekday,785.7321691042592,974.0287476241879
624,624,Southbound,Weekday,23.50882352941176,23.174946723106107
625,625,Northbound,Weekday,131.16773328842297,155.7806145004421
625,625,Southbound,Weekday,56.714082503556234,55.33001422475109
626,626,Northbound,Weekday,3.6999999999999997,3.7
626,626,Southbound,Weekday,5.009347094129701,6.222727272727273
628,628,Northbound,Weekday,7.33333333333334,7.3333333333333375
628,628,Southbound,Weekday,6.466167668617833,7.689922480620167
629,629,Northbound,Weekday,14.777777777777775,13.680555555555511
629,629,Southbound,Weekday,0.0,0.0
631,631,Northbound,Weekday,70.36855409504547,70.27553083923146
631,631,Southbound,Weekday,136.01194109066552,135.6107397504457
638,638,Eastbound,Weekday,25.864705882352943,24.90196078431371
638,638,Westbound,Weekday,52.20202020202019,52.20202020202015
641,641,Northbound,Weekday,22.743589743589745,22.743589743589716
641,641,Southbound,Weekday,156.12777777777734,161.44285714285706
642,642,Westbound,Weekday,36.51883116883117,76.7649350649351
646,646,Eastbound,Weekday,175.12424813682344,269.3422829035752
646,646,Westbound,Weekday,115.70787331462863,115.20835729872967
648,648,Eastbound,Weekday,44.33111702127657,74.77900127547451
648,648,Westbound,Weekday,114.22664835164834,111.1789062192288
649,649,Eastbound,Weekday,58.96104800537581,70.68893353762896
649,649,Westbound,Weekday,18.619409737549276,17.38263364542435
650,650,Eastbound,Weekday,29.94790398993691,34.65502098968919
650,650,Westbound,Weekday,18.046877828054296,17.61316742081444
651,651,Southbound,Weekday,79.46133762877952,79.42938521426888
652,652,Eastbound,Weekday,61.110888752052546,65.06470549287569
652,652,Westbound,Weekday,21.899999999999995,21.900000000000002
653,653,Northbound,Weekday,63.95550408827504,91.24885592350793
654,654,Eastbound,Weekday,64.22860677120391,64.85392526822046
654,654,Westbound,Weekday,240.1655664037242,241.23960693673249
655,655,Eastbound,Weekday,49.29787234042549,49.29787234042557
655,655,Westbound,Weekday,91.63888888888881,91.63888888888884
657,657,Eastbound,Weekday,141.3057736337395,160.54110803734196
657,657,Westbound,Weekday,64.14403604525555,63.93746842588307
658,658,Northbound,Weekday,180.93366013071912,185.64709489856557
658,658,Southbound,Weekday,64.86922617076851,59.91636678892782
660,660,Westbound,Weekday,46.11930010778697,53.17651354493462
662,662,Eastbound,Weekday,19.148148148148145,19.148148148148113
662,662,Westbound,Weekday,84.67073170731709,85.04295392953934
663,663,Northbound,Weekday,7.0246376811594216,6.557487922705313
663,663,Southbound,Weekday,50.21479606994311,50.9108088577562
667,667,Eastbound,Weekday,26.86327503974564,18.337042925278222
667,667,Westbound,Weekday,92.85288894657789,97.44787003207085
669,669,Eastbound,Weekday,21.198951048951056,20.985664335664335
669,669,Westbound,Weekday,26.592546088067106,28.06110615963557
671,671,Eastbound,Weekday,32.05000000000003,28.0666666666667
671,671,Westbound,Weekday,77.35079365079365,68.6436507936508
672,672,Eastbound,Weekday,1.6813725490196074,1.55258467023173
672,672,Westbound,Weekday,16.2352941176471,22.500445632798613
675,675,Eastbound,Weekday,67.49418228829994,59.98844537815128
675,675,Westbound,Weekday,131.35981792125637,202.63263597509825
676,676,Eastbound,Weekday,20.761437908496724,21.34313725490193
676,676,Westbound,Weekday,56.213617514236724,67.19674721563266
677,677,Eastbound,Weekday,19.336426180092747,19.174614554424956
677,677,Westbound,Weekday,42.70562770562767,71.49949494949496
680,680,Eastbound,Weekday,34.673796791443884,35.56862745098039
680,680,Westbound,Weekday,33.73356928356932,33.78157443157443
681,681,Eastbound,Weekday,8.85714285714286,8.857142857142854
681,681,Westbound,Weekday,5.375,5.375
682,682,Eastbound,Weekday,111.6577586206897,112.33509852216734
682,682,Westbound,Weekday,172.41884777371905,172.52428715877568
684,684,Eastbound,Weekday,51.631975867270036,50.591557813255946
684,684,Westbound,Weekday,103.64641751437422,148.07635996184757
687,687,Eastbound,Weekday,125.55203231942346,129.5516625038365
687,687,Westbound,Weekday,47.20930232558139,33.7209302325581
688,688,Northbound,Weekday,37.65624999999999,37.208669354838705
688,688,Southbound,Weekday,39.59999999999997,39.599999999999994
696,696,Eastbound,Weekday,26.55872913992293,28.500545571245183
696,696,Westbound,Weekday,14.666666666666671,14.666666666666652
701,701,Westbound,Weekday,51.4022295321637,49.1095238095238
702,702,Westbound,Weekday,14.4694444444444,14.5568181818182
703,703,Westbound,Weekday,10.4210526315789,10.4736842105263
706,706,Westbound,Weekday,9.68951516598997,10.664809395309218
707,707,Westbound,Weekday,1.16666666666667,0.111111111111111
800,800,Eastbound,Weekday,229.13982512308365,223.2137762151885
800,800,Westbound,Weekday,146.33248195189356,163.19923170900725
801,801,Northbound,Weekday,141.88342113075342,137.1324724801371
801,801,Southbound,Weekday,171.2312844087542,170.25378722438785
802,802,Northbound,Weekday,24.444627870846908,26.424245334183347
802,802,Southbound,Weekday,25.161307583847638,25.165327184892398
805,805,Eastbound,Weekday,47.63937140611444,59.64155437928051
805,805,Westbound,Weekday,45.63160638190961,48.34558812695535
840,840,Northbound,Weekday,25.542078528308856,25.37849272392575
840,840,Southbound,Weekday,30.747954030096917,30.395263863120988
851,851,Northbound,Weekday,48.34597171773712,46.800900621843134
851,851,Southbound,Weekday,46.14824332531588,48.51452695849628
40L,40,Northbound,Weekday,3016.27339016988,3025.95129052384
40L,40,Southbound,Weekday,3255.5699635032106,3234.040041716094
51A,511,Northbound,Weekday,3036.045390472929,3042.4028087832735
51A,511,Southbound,Weekday,2967.9659578457868,2968.0990693052563
51B,512,Northbound,Weekday,4810.563167262591,4805.933050757928
51B,512,Southbound,Weekday,4989.981410934377,5013.858870720225
52L,52,Northbound,Weekday,1184.6002387871267,1266.2539413970337
52L,52,Southbound,Weekday,2502.137183531341,2312.1324203143113
72M,721,Northbound,Weekday,1431.415884862381,1433.140484040495
72M,721,Southbound,Weekday,1321.2967756600888,1320.2694291535254
72R,372,Northbound,Weekday,1927.194542404461,1931.204974413354
72R,372,Southbound,Weekday,1881.4711588144573,1883.7121562941159
E,105,Eastbound,Weekday,68.94712049865382,69.50070763034276
E,105,Westbound,Weekday,64.7550193050155,63.73815744315739
F,106,Eastbound,Weekday,1246.24331308953,1194.8986329851984
F,106,Westbound,Weekday,1127.1497075094526,1156.698521272336
